model,test_stat,p_value,effect_size_cohens_d,effect_size_rank_biserial,p_adjusted
anthropic/claude-haiku-4.5,69.0,0.00684563434814695,1.7530019603571112,-0.7037037037037037,0.00684563434814695
anthropic/claude-opus-4.6,81.0,0.00011189707676150941,4.714045207910316,-1.0,0.00022379415352301882
google/gemini-2.5-flash,72.0,0.00020992438751374628,7.302967433402215,-1.0,0.0003148865812706194
google/gemini-3-pro-preview,81.0,0.00011189707676150941,10.370899457402697,-1.0,0.00022379415352301882
openai/gpt-4o-mini,81.0,7.031069297129346e-05,4.714045207910316,-1.0,0.00022379415352301882
openai/gpt-5.2,81.0,0.00026553245889206336,3.794733192202056,-1.0,0.00031863895067047604
